Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
524330,Jayant Agro Organics Ltd,Vikram Vijaysinh Udeshi Abhay Vithaldas Udeshi & Hemant Vithaldas Udeshi on behalf of Vikram V. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
524330,Jayant Agro Organics Ltd,Varun Abhay Udeshi Vikram Vijaysinh Udeshi & Abhay Vithaldas Udeshi on behalf of Varun A. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
524330,Jayant Agro Organics Ltd,Dhayvat Hemant Udeshi Abhay Vithaldas Udeshi & Vikram Vijaysinh Udeshi on behalf of Dhayvat H. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
524330,Jayant Agro Organics Ltd,Sandeep Sudhir Udeshi Abhay Vithaldas Udeshi & Vikram Vijaysinh Udeshi on behalf of Sandeep S. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
524330,Jayant Agro Organics Ltd,Bharat Mulraj Udeshi Vikram Vijaysinh Udeshi & Abhay Vithaldas Udeshi on behalf of Bharat M. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
524330,Jayant Agro Organics Ltd,Hitesh Jayraj Udeshi Vikram Vijaysinh Udeshi & Abhay Vithaldas Udeshi on behalf of Jayraj G. Udeshi Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,150000,0.00,Acquisition,Equity,150000,0.50,25 Sep 2025,25 Sep 2025,29 Sep 2025,Inter-se Transfer,,,,,,,NA,30 Sep 2025
500520,Mahindra & Mahindra Ltd,Sriram Ramachandran,Designated Person,Equity Shares,34000,0.00,Equity Shares,24,81600.00,Disposal,Equity,33976,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
500520,Mahindra & Mahindra Ltd,Sriram Ramachandran,Designated Person,Equity Shares,33976,0.00,Equity Shares,476,1633565.00,Disposal,Equity,33500,0.00,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
517569,KEI Industries Ltd,Rajeev Gupta,Director,Equity Shares,368691,0.39,Equity Shares,12000,2700000.00,Acquisition,Equity,380691,0.40,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Lalit Sharma,Employee,Equity Shares,84252,0.09,Equity Shares,8000,1800000.00,Acquisition,Equity,92252,0.10,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Adarsh Kumar Jain,Employee,Equity Shares,37500,0.04,Equity Shares,2500,562500.00,Acquisition,Equity,40000,0.04,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Kishore Kunal,Employee,Equity Shares,43367,0.05,Equity Shares,2000,450000.00,Acquisition,Equity,45367,0.05,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Manoj Kakkar,Employee,Equity Shares,58000,0.06,Equity Shares,8000,1800000.00,Acquisition,Equity,66000,0.07,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Kali Charan Sharma,Employee,Equity Shares,84741,0.09,Equity Shares,3000,675000.00,Acquisition,Equity,87741,0.09,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Dilip Kumar Barnwal,Employee,Equity Shares,39500,0.04,Equity Shares,3000,675000.00,Acquisition,Equity,42500,0.04,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Pawan Kumar Jain,Employee,Equity Shares,78000,0.08,Equity Shares,3000,675000.00,Acquisition,Equity,81000,0.08,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Jashobant Singha Ray,Employee,Equity Shares,15000,0.02,Equity Shares,1500,337500.00,Acquisition,Equity,16500,0.02,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Daya Nand Sharma,Employee,Equity Shares,5998,0.01,Equity Shares,3000,675000.00,Acquisition,Equity,8998,0.01,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
517569,KEI Industries Ltd,Nawal Singh Yadav,Employee,Equity Shares,2200,0.00,Equity Shares,2000,450000.00,Acquisition,Equity,4200,0.00,29 Sep 2025,29 Sep 2025,29 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
508869,Apollo Hospitals Enterprise Ltd,K VISWESHWAR REDDY,Promoter,Equity Shares,1577350,1.10,Equity Shares,70000,521100000.00,Pledge,Equity,1577350,1.10,29 Sep 2025,29 Sep 2025,30 Sep 2025,Creation Of Pledge,,,,,,,NA,30 Sep 2025
535267,Comfort Fincap Ltd,Luharuka Sales & Services Private Limited,Promoter Group,Equity Shares,5159099,5.90,Equity Shares,45782,407068.00,Acquisition,Equity,5204881,5.95,24 Sep 2025,25 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
512048,Dhansafal Finserve Ltd,Comfort Intech Limited,Promoter Group,Equity Shares,18808653,8.76,Equity Shares,457670,1759146.00,Acquisition,Equity,19266323,8.98,23 Sep 2025,26 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
512048,Dhansafal Finserve Ltd,Comfort Intech Limited,Promoter Group,Equity Shares,18808653,8.76,Equity Shares,457670,1759146.00,Acquisition,Equity,19266323,8.98,23 Sep 2025,26 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
530365,Orient Bell Ltd-$,ALFA MERCANTILE LIMITED,Promoter Group,Equity Shares,113594,0.77,Equity Shares,741,216643.00,Acquisition,Equity,114335,0.78,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
539787,HealthCare Global Enterprises Ltd,Punitha Rani Singh,Designated Person,Equity Shares,8897,0.01,Equity Shares,2765,1795649.00,Disposal,Equity,6132,0.00,26 Sep 2025,26 Sep 2025,30 Sep 2025,Invocation Of Pledged,,,,,,,NSE,30 Sep 2025
539787,HealthCare Global Enterprises Ltd,Venkataramanan P,Designated Person,Equity Shares,61319,0.04,Equity Shares,7500,4665482.00,Disposal,Equity,53819,0.04,29 Sep 2025,29 Sep 2025,29 Sep 2025,Invocation Of Pledged,,,,,,,NSE,30 Sep 2025
539787,HealthCare Global Enterprises Ltd,Sunu Manuel,Designated Person,Equity Shares,96050,0.07,Equity Shares,10000,6294500.00,Pledge,Equity,96050,0.07,29 Sep 2025,29 Sep 2025,30 Sep 2025,Creation Of Pledge,,,,,,,NSE,30 Sep 2025
539787,HealthCare Global Enterprises Ltd,Ashwini P K,Designated Person,Equity Shares,12354,0.01,Equity Shares,2354,1100000.00,Disposal,Equity,10000,0.01,29 Sep 2025,29 Sep 2025,30 Sep 2025,Off Market,,,,,,,NA,30 Sep 2025
543655,Anzen India Energy Yield Plus Trust,Edelweiss Infrastructure   Yield Plus,Other,Any other instrument,31500000,16.06,Any other instrument,950000,109250000.00,Disposal,-,30550000,15.57,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
543655,Anzen India Energy Yield Plus Trust,Edelweiss Infrastructure   Yield Plus,Other,Any other instrument,30550000,15.57,Any other instrument,950000,109250000.00,Disposal,-,29600000,15.09,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Sale,,,,,,,BSE,30 Sep 2025
544429,HDB Financial Services Ltd,Rohit Bhatnagar,Employee,Equity Shares,6610,0.00,Equity Shares,1500,1160805.00,Disposal,Equity,5110,0.00,23 Sep 2025,25 Sep 2025,27 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
544429,HDB Financial Services Ltd,Ritesh Sharma,Employee,Equity Shares,124364,0.02,Equity Shares,2000,1542000.00,Disposal,Equity,122364,0.02,25 Sep 2025,25 Sep 2025,26 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
544429,HDB Financial Services Ltd,Ritesh Sharma,Employee,Equity Shares,122364,0.02,Equity Shares,11500,8843500.00,Disposal,Equity,110864,0.01,26 Sep 2025,26 Sep 2025,27 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
544429,HDB Financial Services Ltd,Premal Brahmbhatt,Employee,Equity Shares,30575,0.00,Equity Shares,2560,1971200.00,Disposal,Equity,28015,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
544429,HDB Financial Services Ltd,Nanda Kumar S,Employee,Equity Shares,47381,0.01,Equity Shares,2500,1877935.00,Disposal,Equity,44881,0.01,26 Sep 2025,29 Sep 2025,30 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
544429,HDB Financial Services Ltd,Rohit Bhatnagar,Employee,Equity Shares,5110,0.00,Equity Shares,1000,744500.00,Disposal,Equity,4110,0.00,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
539524,Dr. Lal PathLabs Ltd,Dr. Lal PathLabs Employee Welfare Trust,Other,Equity Shares,308857,0.37,Equity Shares,450,329241.00,Disposal,Equity,308407,0.37,30 Sep 2025,30 Sep 2025,30 Sep 2025,ESOP,,,,,,,NA,30 Sep 2025
539524,Dr. Lal PathLabs Ltd,MRINAL KAPOOR,Designated Person,Equity Shares,3000,0.00,Equity Shares,3000,9377301.00,Disposal,Equity,0,0.00,30 Sep 2025,30 Sep 2025,30 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
532777,Info Edge (India) Ltd,Rajiv Gidla,Employee,Equity Shares,6130,0.00,Equity Shares,300,407400.00,Disposal,Equity,5830,0.00,25 Sep 2025,25 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
538476,Capital Trade Links Ltd,SYGNIFIC CORPORATE SOLUTIONS PRIVATE LIMITED,Designated Person,Equity Shares,5504768,4.28,Equity Shares,20000,408000.00,Acquisition,Equity,5524768,4.29,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
538476,Capital Trade Links Ltd,SYGNIFIC CORPORATE SOLUTIONS PRIVATE LIMITED,Designated Person,Equity Shares,5524768,4.29,Equity Shares,6000,123000.00,Acquisition,Equity,5530768,4.29,30 Sep 2025,30 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
537785,Race Eco Chain Ltd,Anil Kumar Behl,Director,Equity Shares,132500,0.68,Equity Shares,10000,2222500.00,Acquisition,Equity,142500,0.74,29 Sep 2025,30 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
530171,Daulat Securities Ltd,ADITI BHUTORIA,Connected Person,Equity Shares,57382,1.15,Equity Shares,5320,40.00,Acquisition,Equity,62702,1.25,30 Sep 2025,30 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
522295,Control Print Ltd-$,LATE PUSHPA KABRA,Promoter,Equity Shares,25483,0.16,Equity Shares,25483,20559684.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,26 Sep 2025,Others,,,,,,,NA,30 Sep 2025
522295,Control Print Ltd-$,SHIVA BASANT KABRA,Promoter Group,Equity Shares,1588969,9.93,Equity Shares,25483,20559684.00,Acquisition,Equity,1614452,10.09,26 Sep 2025,26 Sep 2025,26 Sep 2025,Others,,,,,,,NA,30 Sep 2025
523021,Rishi Techtex Ltd,ABHISHEK HARSHAD PATEL,Promoter & Director,Equity Shares,1051269,14.22,Equity Shares,5950,282589.00,Acquisition,Equity,1057219,14.30,26 Sep 2025,26 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
523021,Rishi Techtex Ltd,ABHISHEK HARSHAD PATEL,Promoter & Director,Equity Shares,1057219,14.30,Equity Shares,5826,279987.00,Acquisition,Equity,1063045,14.38,30 Sep 2025,30 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
517238,Dynavision Ltd,aapex power and Industries Private Limited,Promoter Group,Equity Shares,40794,0.06,Equity Shares,14520,3249140.00,Acquisition,Equity,55314,1.44,26 Sep 2025,26 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
505302,Lakshmi Engineering And Warehousing Ltd,SMT AISHWARYA PATHY,Promoter & Director,Equity Shares,109758,16.41,Equity Shares,354,839044.00,Acquisition,Equity,110112,16.46,10 Sep 2025,26 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
544450,Chembond Chemicals Ltd,Nirmal V. Shah,Promoter & Director,Equity Shares,3604286,13.40,Equity Shares,5000,825000.00,Acquisition,Equity,3609286,13.42,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
544450,Chembond Chemicals Ltd,Nirmal V. Shah,Promoter & Director,Equity Shares,3609286,13.42,Equity Shares,5000,822500.00,Acquisition,Equity,3614286,13.44,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
543214,NDR Auto Components Ltd,Pranav Relan,Promoter Group,Equity Shares,983318,4.13,Equity Shares,983318,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
543214,NDR Auto Components Ltd,Ayush Relan,Promoter Group,Equity Shares,985134,4.14,Equity Shares,985134,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
543214,NDR Auto Components Ltd,Rohit Relan Family Trust,Promoter,Equity Shares,0,0.00,Equity Shares,17395361,0.00,Acquisition,Equity,17395361,73.13,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
543214,NDR Auto Components Ltd,Rohit Relan,Promoter,Equity Shares,11461778,48.19,Equity Shares,11461778,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
543214,NDR Auto Components Ltd,Ritu Relan,Promoter Group,Equity Shares,2982221,12.54,Equity Shares,2982221,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
543214,NDR Auto Components Ltd,Rishabh Relan,Promoter Group,Equity Shares,982910,4.13,Equity Shares,982910,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
544333,Standard Engineering Technology Ltd,RADHIKA NANNAPANENI,Director,Equity Shares,152100,0.07,Equity Shares,750,135000.00,Acquisition,Equity,152850,0.07,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
544333,Standard Engineering Technology Ltd,RADHIKA NANNAPANENI,Director,Equity Shares,152850,0.07,Equity Shares,600,107220.00,Acquisition,Equity,153450,0.07,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
544333,Standard Engineering Technology Ltd,RADHIKA NANNAPANENI,Director,Equity Shares,153450,0.07,Equity Shares,662,119491.00,Acquisition,Equity,154112,0.07,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
523229,Bharat Seats Ltd-$,Rohit Relan,Promoter,Equity Shares,7658316,12.19,Equity Shares,7658316,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
523229,Bharat Seats Ltd-$,Ritu Relan,Promoter,Equity Shares,575000,0.92,Equity Shares,575000,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
523229,Bharat Seats Ltd-$,Rishabh Relan,Promoter Group,Equity Shares,746000,1.19,Equity Shares,746000,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
523229,Bharat Seats Ltd-$,Pranav Relan,Promoter Group,Equity Shares,866500,1.38,Equity Shares,866500,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
523229,Bharat Seats Ltd-$,Ayush Relan,Promoter Group,Equity Shares,442542,0.70,Equity Shares,442542,0.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
523229,Bharat Seats Ltd-$,Rohit Relan Family Trust,Promoter,Equity Shares,0,0.00,Equity Shares,10288358,0.00,Acquisition,Equity,10288358,16.38,26 Sep 2025,26 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,30 Sep 2025
534425,Speciality Restaurants Ltd,Anjan Chatterjee,Promoter & Director,Equity Shares,12195000,25.28,Equity Shares,3263,411635.00,Acquisition,Equity,12198263,25.29,19 Sep 2025,19 Sep 2025,22 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
534425,Speciality Restaurants Ltd,Anjan Chattejee,Promoter & Director,Equity Shares,12198263,25.29,Equity Shares,46737,6487417.00,Acquisition,Equity,12245000,25.39,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
540642,Salasar Techno Engineering Ltd,Shikhar Fabtech Private Limited,Promoter Group,Equity Shares,64469345,3.73,Equity Shares,4100225,37804074.00,Disposal,Equity,60369120,3.50,25 Sep 2025,25 Sep 2025,26 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
540642,Salasar Techno Engineering Ltd,Alok Kumar,Promoter & Director,Equity Shares,49901088,2.89,Equity Shares,3010000,27658890.00,Disposal,Equity,46891088,2.72,25 Sep 2025,25 Sep 2025,26 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
540642,Salasar Techno Engineering Ltd,Base Engineering LLP,Promoter Group,Equity Shares,6094575,0.35,Equity Shares,3070000,28290050.00,Disposal,Equity,3024575,0.18,25 Sep 2025,25 Sep 2025,26 Sep 2025,Market Sale,,,,,,,NSE,30 Sep 2025
500034,Bajaj Finance Ltd,Bajaj Allianz General Insurance Company Ltd,Promoter Group,Equity Shares,577000,0.01,Equity Shares,153000,151428484.00,Acquisition,Equity,730000,0.01,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
540725,Share India Securities Ltd,Neeru Aggarwal,Promoter Group,Equity Shares,0,0.00,Equity Shares,63000,11308500.00,Acquisition,Equity,63000,0.03,05 Oct 2017,29 Jun 2025,29 Jun 2025,Others,,,,,,,NA,30 Sep 2025
540725,Share India Securities Ltd,Sheetal Agarwal,Promoter Group,Equity Shares,0,0.00,Equity Shares,8160,1464720.00,Acquisition,Equity,8160,0.00,05 Oct 2017,29 Jun 2025,29 Jun 2025,Others,,,,,,,NA,30 Sep 2025
540725,Share India Securities Ltd,Meera Gupta,Promoter Group,Equity Shares,0,0.00,Equity Shares,72080,12938360.00,Acquisition,Equity,72080,0.03,05 Oct 2017,29 Jun 2025,29 Jun 2025,Others,,,,,,,NA,30 Sep 2025
530217,Swojas Foods Ltd,JYOTI KHANDELWAL,Promoter & Director,Equity Shares,1542008,4.98,Equity Shares,265000,3883950.00,Disposal,Equity,1277008,4.12,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Sale,,,,,,,BSE,30 Sep 2025
500367,Rubfila International Ltd,HARDIK B PATEL,Promoter,Equity Shares,4539504,8.37,Equity Shares,8000,655318.00,Acquisition,Equity,4547504,8.38,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,NSE,30 Sep 2025
500367,Rubfila International Ltd,HARDIK B PATEL,Promoter,Equity Shares,4547504,8.38,Equity Shares,4300,352252.00,Acquisition,Equity,4551804,8.39,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
500307,Nirlon Ltd,SHITAL TRADING & INTERIORS PVT.LTD.,Promoter Group,Equity Shares,50000,0.05,Equity Shares,5000,2550000.00,Disposal,Equity,45000,0.05,29 Sep 2025,29 Sep 2025,30 Sep 2025,Market Sale,,,,,,,BSE,30 Sep 2025
514354,Premier Polyfilm Ltd,Amar Nath Goenka HUF Revised ,Promoter Group,Equity Shares,2671645,2.55,Equity Shares,2671645,1.00,Disposal,Equity,0,0.00,26 Sep 2025,26 Sep 2025,27 Sep 2025,Inheritance,,,,,,,BSE,30 Sep 2025
514354,Premier Polyfilm Ltd,Amar Nath Goenka Revised ,Promoter,Equity Shares,2877926,2.75,Equity Shares,2671645,1.00,Acquisition,Equity,5549571,5.30,26 Sep 2025,26 Sep 2025,27 Sep 2025,Inheritance,,,,,,,BSE,30 Sep 2025
522101,Kilburn Engineering Ltd,Firstview Trading Private Limited,Promoter,Equity Shares,15368600,29.88,Equity Shares,20000,11374754.00,Acquisition,Equity,15388600,29.92,29 Sep 2025,29 Sep 2025,29 Sep 2025,Market Purchase,,,,,,,BSE,30 Sep 2025
512047,Royal India Corporation Ltd,India Corporation Limited,Promoter Group,Equity Shares,0,0.00,Equity Shares,8500000,7.00,Acquisition,Equity,8500000,7.21,26 Sep 2025,26 Sep 2025,29 Sep 2025,Allotment,,,,,,,BSE,29 Sep 2025
532407,Moschip Technologies Ltd,Venkata Sudhakar Simhadri,Employees Immediate Relative,Equity Shares,3885823,2.02,Equity Shares,20000,5448000.00,Disposal,Equity,3865823,2.01,22 Sep 2025,26 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543798,Patron Exim Ltd,Bhumishth Patel,Promoter & Director,Equity Shares,500000,2.16,Equity Shares,500000,4250080.00,Disposal,Equity,0,0.00,25 Sep 2025,25 Sep 2025,27 Sep 2025,Market Sale,,,,,,,BSE,29 Sep 2025
543798,Patron Exim Ltd,Payal Patel,Promoters Immediate Relative,Equity Shares,500000,2.16,Equity Shares,500000,4248360.00,Disposal,Equity,0,0.00,25 Sep 2025,25 Sep 2025,27 Sep 2025,Market Sale,,,,,,,BSE,29 Sep 2025
532281,HCL Technologies Ltd,DEVANATHAN DILIP KUMAR,Designated Person,Equity Shares,2921,0.00,Equity Shares,1921,2774308.00,Acquisition,Equity,4842,0.00,23 Sep 2025,23 Sep 2025,25 Sep 2025,ESOS,,,,,,,NA,29 Sep 2025
532281,HCL Technologies Ltd,Bejoy George,Designated Person,Equity Shares,14611,0.00,Equity Shares,2873,4149187.00,Acquisition,Equity,17484,0.00,23 Sep 2025,23 Sep 2025,25 Sep 2025,ESOS,,,,,,,NA,29 Sep 2025
539787,HealthCare Global Enterprises Ltd,Dr Deepti Gautam Tewari,Designated Person,Equity Shares,58005,0.04,Equity Shares,7900,5135000.00,Disposal,Equity,50105,0.04,26 Sep 2025,26 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
539787,HealthCare Global Enterprises Ltd,Srinivasa Raghavan V,Designated Person,Equity Shares,106378,0.08,Equity Shares,5000,3247745.00,Disposal,Equity,101378,0.07,26 Sep 2025,26 Sep 2025,29 Sep 2025,Invocation Of Pledged,,,,,,,NSE,29 Sep 2025
539787,HealthCare Global Enterprises Ltd,Bomanahalli Rangaswamaiah Girish,Designated Person,Equity Shares,3493,0.00,Equity Shares,3493,0.00,Disposal,Equity,0,0.00,29 Sep 2025,29 Sep 2025,29 Sep 2025,Gift,,,,,,,NA,29 Sep 2025
539787,HealthCare Global Enterprises Ltd,Dr Deepti Gautam Tewari,Designated Person,Equity Shares,58105,0.04,Equity Shares,100,65455.00,Disposal,Equity,58005,0.04,25 Sep 2025,25 Sep 2025,29 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Satyanarayana Raju Bhupathiraju,Promoter & Director,Equity Shares,215615,2.34,Equity Shares,38470,1380454.00,Disposal,Equity,177145,1.92,23 Sep 2025,24 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Alluri Prabhakar Raju,Promoter,Equity Shares,164409,1.78,Equity Shares,23000,824670.00,Disposal,Equity,141409,1.53,23 Sep 2025,24 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Gaddam Venkata Ramana,Promoter & Director,Equity Shares,750207,8.14,Equity Shares,100000,3592016.00,Disposal,Equity,650207,7.05,23 Sep 2025,23 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Alluri Srinivasa Raju,Promoter,Equity Shares,129972,1.41,Equity Shares,21464,769568.00,Disposal,Equity,108508,1.18,23 Sep 2025,24 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Alluri Anantha Laxmi,Promoter,Equity Shares,121891,1.32,Equity Shares,21250,761363.00,Disposal,Equity,100641,1.09,23 Sep 2025,24 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
543298,Vineet Laboratories Ltd,Penmetsa Venkata Krishnam Raju,Promoter,Equity Shares,85988,0.93,Equity Shares,22000,788880.00,Disposal,Equity,63988,0.69,23 Sep 2025,24 Sep 2025,25 Sep 2025,Market Sale,,,,,,,NSE,29 Sep 2025
